(-9.72572e-006,-1.89819e-007)
(-1.14909e-006,5.5221e-005)
(-2.02246e-006,-7.33201e-005)
(-0.000102015,-6.73165e-006)
(-1.87056e-005,1.96241e-006)
(6.22606e-006,6.19422e-005)
(-5.26299e-006,-9.93181e-005)
(-0.000114947,-1.13968e-005)
(-2.88886e-005,5.73575e-006)
(1.28434e-005,6.81429e-005)
(-8.71436e-006,-0.00011626)
(-0.000123453,-1.47287e-005)
(-3.66415e-005,9.33999e-006)
(1.73239e-005,7.24926e-005)
(-1.81584e-005,-0.000145502)
(-0.000138663,-2.05551e-005)
(-5.2458e-005,1.83261e-005)
(2.57259e-005,8.10735e-005)
(-2.80171e-005,-0.000165392)
(-0.000149784,-2.42142e-005)
(-6.53494e-005,2.70981e-005)
(3.21915e-005,8.81145e-005)
(-9.41707e-005,-0.000226266)
(-0.000196427,-2.81233e-005)
(-0.000124018,8.2616e-005)
(6.09569e-005,0.000124858)
(-9.43487e-005,-0.000226353)
(-0.000196529,-2.81084e-005)
(-0.000124144,8.27643e-005)
(6.10203e-005,0.000124949)
(3.68414e-009,1.1055e-005)
(0.000111454,1.32215e-007)
(-4.59691e-007,-1.54767e-007)
(-7.78103e-006,2.31099e-005)
(-1.12601e-006,-3.79099e-007)
(-1.90596e-005,5.66074e-005)
(3.56621e-009,1.09366e-005)
(0.000111362,1.29441e-007)
(-4.5389e-007,-1.53616e-007)
(-7.8129e-006,2.30834e-005)
(-1.1118e-006,-3.76281e-007)
(-1.91376e-005,5.65425e-005)
(9.88147e-010,7.14926e-006)
(0.000108163,5.59287e-008)
(-2.7587e-007,-1.12125e-007)
(-8.9782e-006,2.20894e-005)
(-6.75741e-007,-2.74648e-007)
(-2.1992e-005,5.41078e-005)
(1.99173e-010,4.2027e-006)
(0.000105105,1.95285e-008)
(-1.49277e-007,-7.27384e-008)
(-1.0218e-005,2.09697e-005)
(-3.65653e-007,-1.78172e-007)
(-2.50289e-005,5.13652e-005)
(2.62069e-011,2.14286e-006)
(0.00010223,5.12562e-009)
(-6.92324e-008,-4.04788e-008)
(-1.15213e-005,1.97053e-005)
(-1.69584e-007,-9.91523e-008)
(-2.82213e-005,4.8268e-005)
(5.40204e-012,1.26771e-006)
(0.000100517,1.80395e-009)
(-3.82865e-008,-2.51755e-008)
(-1.23739e-005,1.8818e-005)
(-9.37824e-008,-6.1667e-008)
(-3.03097e-005,4.60945e-005)
(-2.84968e-009,-8.55105e-006)
(-6.68624e-005,-1.08716e-007)
(-1.27087e-006,-4.2787e-007)
(-1.44131e-005,4.2806e-005)
(-2.75848e-009,-8.4595e-006)
(-6.67935e-005,-1.06431e-007)
(-1.25488e-006,-4.24706e-007)
(-1.44696e-005,4.27494e-005)
(-7.64413e-010,-5.53054e-006)
(-6.44041e-005,-4.59288e-008)
(-7.63835e-007,-3.10453e-007)
(-1.6523e-005,4.06517e-005)
(-1.54097e-010,-3.25154e-006)
(-6.21249e-005,-1.60184e-008)
(-4.13955e-007,-2.01708e-007)
(-1.86835e-005,3.83429e-005)
(-2.02788e-011,-1.65814e-006)
(-5.99882e-005,-4.19998e-009)
(-1.92283e-007,-1.12424e-007)
(-2.09302e-005,3.57976e-005)
(-4.18051e-012,-9.81047e-007)
(-5.87177e-005,-1.47729e-009)
(-1.0644e-007,-6.99898e-008)
(-2.23874e-005,3.40465e-005)
(3.80618e-009,1.11749e-005)
(0.000111547,1.35054e-007)
(-4.65578e-007,-1.55923e-007)
(-7.74898e-006,2.31365e-005)
(-1.14043e-006,-3.81932e-007)
(-1.89811e-005,5.66726e-005)
(2.7402e-011,2.17485e-006)
(0.000102284,5.27885e-009)
(-7.04051e-008,-4.10171e-008)
(-1.14953e-005,1.97315e-005)
(-1.72457e-007,-1.00471e-007)
(-2.81577e-005,4.83322e-005)
(5.85732e-012,1.30227e-006)
(0.000100596,1.90318e-009)
(-3.9462e-008,-2.58032e-008)
(-1.23331e-005,1.88616e-005)
(-9.66617e-008,-6.32046e-008)
(-3.02099e-005,4.62014e-005)
(-2.94407e-009,-8.64375e-006)
(-6.69319e-005,-1.11055e-007)
(-1.28709e-006,-4.3105e-007)
(-1.43563e-005,4.28629e-005)
(-2.12035e-011,-1.68289e-006)
(-6.00284e-005,-4.32562e-009)
(-1.95534e-007,-1.13916e-007)
(-2.08857e-005,3.58498e-005)
(-4.53281e-012,-1.00779e-006)
(-5.87763e-005,-1.5586e-009)
(-1.09702e-007,-7.17316e-008)
(-2.2318e-005,3.4132e-005)
(1.75651e-005,0.000172118)
(0.00019753,2.06963e-005)
(-1.68457e-005,5.22487e-006)
(1.0867e-005,3.72737e-005)
(-4.12634e-005,1.27983e-005)
(2.66187e-005,9.13015e-005)
(0.000417844,0.000256168)
(0.00040323,-9.52999e-005)
(-8.35753e-005,0.000113788)
(6.11091e-005,0.00010177)
(-0.000204717,0.000278723)
(0.000149686,0.000249284)
(-1.36077e-005,-0.000133341)
(-0.00013222,-1.81569e-005)
(-4.54717e-005,1.41035e-005)
(2.21023e-005,7.7299e-005)
(-0.000329877,-0.000202237)
(-0.000305047,5.35553e-005)
(-0.000219205,0.000298449)
(0.000135793,0.000248942)
(2.42623e-006,9.25412e-005)
(0.000156858,7.65303e-006)
(-6.64016e-006,6.51903e-007)
(2.96349e-006,3.11353e-005)
(-1.6265e-005,1.59683e-006)
(7.25904e-006,7.62655e-005)
(6.10674e-006,0.000124058)
(0.000172817,1.26109e-005)
(-1.01242e-005,1.89555e-006)
(6.03051e-006,3.34213e-005)
(-2.47992e-005,4.64314e-006)
(1.47717e-005,8.18651e-005)
(1.41458e-005,0.000161108)
(0.000191767,1.88751e-005)
(-1.51362e-005,4.27684e-006)
(9.71782e-006,3.63246e-005)
(-3.70759e-005,1.04761e-005)
(2.38037e-005,8.89768e-005)
(6.17492e-005,0.000247533)
(0.000241955,2.93152e-005)
(-3.2336e-005,1.64935e-005)
(2.02377e-005,4.5993e-005)
(-7.92066e-005,4.04006e-005)
(4.95719e-005,0.000112659)
(-1.87689e-006,-7.15883e-005)
(-0.000101152,-6.44962e-006)
(-1.80953e-005,1.77652e-006)
(5.78751e-006,6.15386e-005)
(-4.72613e-006,-9.60109e-005)
(-0.000113299,-1.07664e-005)
(-2.74825e-005,5.14554e-006)
(1.19901e-005,6.73297e-005)
(-1.09558e-005,-0.000124777)
(-0.000127792,-1.64387e-005)
(-4.09092e-005,1.15592e-005)
(1.96671e-005,7.48263e-005)
(-4.79708e-005,-0.0001923)
(-0.000166835,-2.80454e-005)
(-8.65022e-005,4.41218e-005)
(4.25104e-005,0.00010024)
